phrase,n
GCQ ,2272
II ,882
GC ,649
III ,646
CEO ,539
IV ,471
SCHEDULE ,452
ANNEXE ,450
CRTC ,370
VIA ,283
III,142
PPP ,126
MRC ,122
CANADA ,110
COLONNE ,110
COLUMN ,107
VI ,92
ELIZABETH II,88
IX ,84
ELIZABETH II ,80
SB ,80
ÉGARD ,78
SUR ,78
AIDE FINANCIÈRE ,76
AUTORISATION ,74
AUTHORIZATION ,73
DECLARATION ,73
DÉCRET ,72
UNE URGENCE PROVINCIALE DÉCLARATION ,70
CANADA,69
REGINA,69
PROVINCIAL EMERGENCY FINANCIAL ASSISTANCE ORDER NO,68
REGINA ,60
PROMOTIONS ,59
CP ,54
KPMG LLP,54
NISA,48
NOVA ,48
CSRN,47
EXERCER LES FONCTIONS DE SA CHARGE ,47
VII ,47
FM ,43
GRP ,42
OFFICER RANK ,40
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA PROMOTION COLONNE ,39
VIII ,39
CENTS ,38
LLP ,38
OFFICIER GRADE ,38
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT PROMOTION COLUMN ,38
IP ,37
LIST OF MINISTERS TO ACT FOR THE PRIME MINISTER IN THE EVENT OF HIS BEING UNABLE TO PERFORM THE FUNCTIONS OF HIS OFFICE ,36
VII,36
GRC,34
CHARGE ,33
II NAME ,33
II NOM ,33
III ACTING MINISTER ,33
III MINISTRE SUPPLÉANT ,33
IV SECOND MINISTRE SUPPLÉANT ,33
NOTE,33
OFFICE ,33
UNESCO,33
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA NOMINATION ,32
GCQ,32
IL LUI EST IMPOSSIBLE ,32
LISTE DES MINISTRES POUVANT AGIR AU NOM DU PREMIER MINISTRE ,32
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT APPOINTMENT ,32
OFFICIER DÉCRET DATE DE RETRAITE ,31
CLC ,30
CENTS,28
CLSR,28
LNG ,28
OFFICER ORDER IN COUNCIL RETIREMENT DATE ,28
RCMP ,28
AND WHEREAS ,27
IV SECOND ACTING MINISTER ,27
ILEC,25
TELUS ,25
ACTING MINISTERS ,24
ATTENDU QUE ,24
CH ,24
CLSR ,24
GST,24
MINISTRES SUPPLÉANTS ,24
TPS,24
TVH,24
LTO ,23
ANNEXE LOI SUR LA GENDARMERIE ROYALE DU CANADA RETRAITE ,22
GEN ,22
RCMP,22
SCHEDULE ROYAL CANADIAN MOUNTED POLICE ACT RETIREMENT ,22
NGTL ,21
BPC ,20
CN ,20
COSEPAC,20
IMPOSSIBILITÉ DE CELUI,20
OTAN,20
COSEWIC,19
HST,19
NATO ,19
XIII ,19
ALÉNA,18
DOLLARS,18
ESLT ,18
ILEC ,18
LET,18
LLC,18
ALLIED FORCE ,17
CI ,17
DOLLAR,17
LLP,17
XIII,17
BSE ,16
CAN ,16
CDN ,16
COURT OF QUEEN,16
GP ,16
INSPECTEUR ,16
NGTL,16
ACTING,15
LISTE DES MINISTRES QUI SERONT AUTORISÉS ,15
NATO,15
