phrase,n
ADMINISTRATOR ,744
AGREEMENT ,679
REGULATIONS ,590
COME INTO FORCE,513
FOOD AND DRUG REGULATIONS ,483
CORPORATE PLAN ,441
CANADA,404
SCHEDULE ,378
JOHN ,341
JEAN,319
RETIREMENT,304
ROBERT ,277
THE CANADIAN WHEAT BOARD ,260
INCOME TAX REGULATIONS ,259
ANNUITY ,255
REGULATIONS,244
HON,235
PROCLAMATION ,232
BRITISH COLUMBIA ,223
BILL ,222
DAVID ,221
COMMISSIONER ,218
MISCELLANEOUS PROGRAM,218
ONTARIO ,216
MANITOBA ,204
WILLIAM ,199
JAMES ,193
AUDITOR GENERAL OF CANADA ,192
DESIGNATION ,191
NORTHWEST TERRITORIES ,170
NATIONAL CAPITAL COMMISSION ,167
VIA ,161
SUPPLEMENTARY AGREEMENT ,160
GST,154
REMISSION ORDER ,141
INC,140
BARLEY ,139
NON,139
DONALD ,137
SASKATCHEWAN ,137
ALBERTA ,136
NEWFOUNDLAND ,134
QUEBEC ,134
COLLECTIVE AGREEMENT ,131
YUKON TERRITORY ,127
DESIGNATED BARLEY ,126
NOVA SCOTIA ,124
WHEAT ,123
ORDER ,121
PETER ,121
AMBER DURUM WHEAT ,120
CANADIAN WHEAT BOARD REGULATIONS ,119
COMES INTO FORCE,118
INSPECTOR,114
AGREEMENT ON SOCIAL SECURITY ,111
PROMOTION ,110
DISSOLUTION ,107
MARIE,106
RICHARD ,106
WARRANT ,106
BRITISH COLUMBIA,104
INSPECTOR ,104
MICHAEL ,103
II ,101
LAWS ,100
AGREEMENTS ,97
PAUL ,95
AGREEMENT,93
MOTOR VEHICLE SAFETY REGULATIONS ,93
APPOINTMENT ,92
CRTC ,92
QUEBEC,92
THOMAS ,90
OFFICERS ,89
NEW BRUNSWICK ,88
HIGHER INITIAL PRICES ,87
NEWFOUNDLAND AND LABRADOR ,86
PROVINCIAL EMERGENCIES FINANCIAL ASSISTANCE ORDER NO,85
MRL,84
MANITOBA,82
COMMISSION ,81
SUMS CERTAIN,79
CANADIAN AVIATION REGULATIONS ,78
ONTARIO,78
ORDINANCES ,78
RETIREMENT ,77
CANADA ,76
LEAVE OF ABSENCE ,75
APPROPRIATION ACT NO,74
GORDON ,74
NATIONAL ENERGY BOARD ,74
PROHIBITION OF ENTRY ON CERTAIN LANDS ORDER,74
INITIAL PRICES ,73
NORTHWEST TERRITORIES,72
QUEEN,72
SASKATCHEWAN,72
SMITH ,72
APRIL ,71
CHARLES ,71
RONALD ,71
TRANSGAS LIMITED ,71
YUKON ,71
ALBERTA,70
DOUGLAS ,70
IAN ,70
YUKON TERRITORY,70
EXCHANGE OF NOTES ,69
IMMIGRATION REGULATIONS,69
SPECIAL ECONOMIC MEASURES ,69
BANKS,68
COMMISSIONED OFFICERS ,68
GEORGE ,67
GST ,66
TRUST AND LOAN COMPANIES,66
ALAN ,65
BRING INTO FORCE ,65
CONVENTION ,65
RELOCATION EXPENSES ,65
IMMIGRATION EXEMPTION REGULATIONS NO,64
JEAN ,64
NEWFOUNDLAND,64
SUPPLEMENTARY ESTIMATES ,64
WITHDRAWAL FROM DISPOSAL ORDER ,64
CONTRIBUTION AGREEMENT ,63
IMMIGRATION AND REFUGEE PROTECTION REGULATIONS ,63
CORPORATION ,62
DONALD,62
ELIZABETH ,62
EMPLOYMENT INSURANCE REGULATIONS ,62
EXPORT DEVELOPMENT CORPORATION ,61
IMMIGRATION VISA EXEMPTION REGULATIONS NO,61
JUNE ,61
LAW ,61
NOVA SCOTIA,60
NUNAVUT ,60
SMITH,60
NEW BRUNSWICK,59
WHEAT,59
CANADIAN NATIONAL RAILWAY COMPANY ,58
III ,58
JANUARY ,58
MARY ,58
SASKATCHEWAN TELECOMMUNICATIONS ,58
SETTLEMENT AGREEMENT ,58
FRIDAY,57
MAY ,57
MONDAY,57
HONOURABLE ,56
OCTOBER ,56
ROYAL CANADIAN MOUNTED POLICE,56
III,55
JOSEPH ,55
PRINCE EDWARD ISLAND ,55
KENNETH ,54
MARC ,54
PATRICIA ,54
WEDNESDAY,54
BRIAN ,53
GERALD ,53
TAX COURT OF CANADA,52
DECEMBER ,51
MARCH ,51
HEATHER ,50
FINAL PAYMENT ,49
LIMITED ,49
MIGRATORY BIRDS REGULATIONS ,49
FINANCIAL ADMINISTRATION ACT ,48
ROYAL CANADIAN MOUNTED POLICE ,48
TERRITORY ,48
VIA RAIL CANADA INC,48
CHAMBRE DE COMMERCE ET ,47
JULY ,47
LTD,47
MARGARET ,47
NATIONAL RESEARCH COUNCIL OF CANADA ,47
ORDER OF CONSENT ,47
COMMISSIONS ,46
HST,45
THURSDAY,45
MICHEL ,44
RCMP ,44
SASKATCHEWAN POWER CORPORATION ,44
BAND,43
EDWARD ,43
PROTOCOL ,43
TACKLE,43
AND ,42
BARBARA ,42
CANADA POST CORPORATION ,42
CANADIAN,42
COME INTO FORCE ,42
PROVINCIAL EMERGENCY FINANCIAL ASSISTANCE ORDER NO,42
STEPHEN ,42
COWESSESS BAND,41
FEDERAL,41
LETTERS PATENT ,41
PATRICK ,41
DELOITTE ,40
INSURANCE COMPANIES,40
AMBER DURUM WHEAT,39
COOPERATIVE CREDIT ASSOCIATIONS,39
