word,n
appointment,15952
term,15560
years,14921
office,14633
order,14626
canada,12857
hold,12239
regulations,12108
ontario,11376
effective,10368
three,9958
board,9074
member,8210
canadian,7391
quebec,7018
pleasure,6800
reappointment,6488
minister,6335
court,5800
approval,5108
judge,4591
amending,4569
british,4541
good,4530
columbia,4524
act,4479
behaviour,4437
authority,4371
division,4312
regional,4242
national,4090
council,4080
agreement,3861
district,3391
hon,3336
government,3248
certain,3241
province,3195
period,3148
land,3066
new,3004
toronto,2843
corporation,2779
alberta,2753
review,2707
director,2692
amendment,2651
refugee,2625
chairperson,2610
tribunal,2569
commission,2538
authorizing,2523
indian,2506
appeal,2501
saskatchewan,2491
public,2486
may,2431
immigration,2339
development,2322
ottawa,2291
directors,2231
march,2171
two,2161
justice,2128
january,2121
fulltime,2105
april,2099
reserve,2067
year,2047
particularly,1988
referees,1983
region,1964
june,1929
five,1927
granting,1919
boards,1909
republic,1907
scotia,1882
nova,1870
use,1869
july,1856
ending,1823
august,1809
hectares,1802
december,1798
commissioner,1788
purposes,1783
made,1767
enter,1761
tax,1751
service,1741
manitoba,1718
john,1713
september,1694
sign,1687
federal,1651
schedule,1642
international,1611
honourable,1580
vancouver,1569
october,1564
brunswick,1546
inc,1518
band,1511
place,1502
force,1493
fixing,1492
general,1489
foreign,1486
annuity,1482
affairs,1478
newfoundland,1468
issue,1461
november,1406
wheat,1401
remission,1396
yukon,1376
amendments,1375
transfer,1374
lands,1369
port,1368
superior,1357
control,1356
superintendent,1355
convention,1351
plan,1350
financial,1344
first,1339
royal,1338
respect,1318
administration,1316
inspector,1295
parttime,1291
services,1259
territories,1257
setting,1241
limited,1221
enactment,1218
four,1215
deputy,1211
income,1211
designation,1207
one,1204
northwest,1203
2003,1191
montreal,1189
officer,1182
program,1170
transport,1169
february,1168
robert,1167
will,1167
1999,1165
members,1151
police,1130
united,1119
chief,1112
city,1094
retirement,1094
ambassador,1088
territory,1081
2001,1076
agency,1064
mounted,1056
energy,1053
officio,1051
safety,1051
benefit,1046
1992,1041
day,1040
1996,1037
2008,1035
shall,1017
payable,1015
apart,1013
1998,1006
situated,1001
2009,997
2000,994
interest,988
research,983
insurance,968
montréal,967
persons,967
security,964
administrator,961
prince,946
governor,945
queens,920
edward,917
fiscal,911
corporate,910
paid,909
nation,907
david,901
2002,900
commerce,896
directing,896
2010,895
1993,888
north,877
trade,877
inclusive,872
company,863
lake,854
respecting,852
food,851
2005,850
bank,850
determination,848
2007,846
supreme,842
information,838
james,823
special,823
powers,822
2013,820
1990,816
island,813
customs,812
goods,811
2004,810
william,810
centre,809
consul,809
tariff,806
section,803
residence,795
citizenship,793
atlantic,789
department,784
1997,782
mines,782
products,781
1995,776
states,773
1991,772
joseph,767
acceptance,766
2012,758
list,758
parole,758
assistance,754
2006,750
1994,748
come,742
officers,742
calgary,741
temporary,736
provides,733
export,727
employment,724
instrument,723
health,722
chairman,721
nations,719
rank,715
2011,710
provide,708
approving,705
labrador,703
make,702
electoral,700
bench,699
upon,699
following,693
gas,693
minerals,692
2014,691
president,690
administrative,688
part,687
set,683
concerning,679
human,676
pension,676
transportation,675
social,671
capital,670
protection,668
puisne,663
2015,662
winnipeg,662
full,658
whose,656
pilotage,654
change,650
honorary,648
natural,646
staff,646
business,645
purpose,643
duties,641
drug,640
returning,640
river,639
thereof,637
fees,626
sergeant,624
chapter,616
economic,614
investment,613
railway,608
rights,608
edmonton,603
management,602
statutes,602
name,601
relations,599
addition,597
within,595
michael,594
application,593
richard,593
near,589
sections,586
established,585
resignation,585
power,579
bill,578
designated,578
adding,571
bay,569
discharge,567
provisions,565
basis,563
chambre,563
industry,561
resources,561
auditor,558
required,558
marketing,555
licence,551
farm,545
george,544
employees,542
acquire,535
behalf,535
paul,534
used,529
rules,527
state,527
agreements,526
pacific,524
peter,524
provincial,524
take,524
designating,523
sale,521
committee,511
area,510
finance,508
halifax,508
credit,507
ltd,506
heritage,505
serve,505
trustees,505
johns,503
situate,498
account,497
barley,497
time,495
expired,494
payments,491
disposal,490
grant,486
permanent,483
promotion,482
museum,477
included,475
property,475
making,469
great,464
standards,464
remuneration,462
withdrawal,457
number,454
representation,454
authorization,452
proclaimed,450
air,449
crop,449
commencing,448
months,448
requirements,447
nunavut,446
issued,445
entry,444
extraordinary,442
plenipotentiary,439
northern,437
exchange,436
high,435
crown,431
system,429
park,426
beginning,425
companies,425
jean,422
marine,419
conditions,416
joint,415
initial,410
veterans,408
institutions,407
secretary,407
telecommunications,407
imported,405
executive,403
treasury,403
donald,400
airport,398
said,395
works,394
advisory,391
amend,389
pool,389
organization,387
producers,387
implementation,386
parcel,384
six,382
located,380
widow,380
allow,379
subject,379
assistant,378
water,377
additional,375
fisheries,375
maximum,375
amount,374
associate,371
grades,370
planning,370
technology,370
expenses,368
contribution,366
payment,366
terms,363
west,363
establish,362
marie,362
environment,361
issuance,361
settlement,361
establishing,359
smith,359
harbour,358
labour,358
hamilton,357
increase,356
repealing,354
taxes,354
date,353
vicinity,353
thomas,352
including,350
supplementary,350
appointed,349
commercial,349
panel,349
portion,349
fund,348
subsection,348
execute,347
mary,347
revenue,346
science,345
bridge,344
provinces,344
ensure,342
michel,342
proclamation,342
rates,341
pipeline,340
acres,338
transmission,336
sciences,335
loan,334
miscellaneous,334
necessary,334
pierre,333
forces,331
fishery,330
lieu,330
representative,330
taxation,330
gordon,329
delivered,328
notes,328
orders,328
chamber,327
construction,327
prescribing,327
related,326
fishing,325
french,325
sums,325
agriculture,323
douglas,323
activities,322
exemption,322
head,322
well,322
victoria,321
claims,320
benefits,319
existing,317
appointing,316
leasing,316
authorizes,315
station,315
america,314
environmental,314
provision,314
limits,311
prescribed,310
québec,310
regina,310
immediate,309
charles,307
mississauga,307
support,307
accounts,304
operation,304
kingdom,303
letters,302
prime,302
rail,302
consenting,301
noncommissioned,300
election,299
lot,299
raymond,299
access,297
vicechairperson,297
treaty,296
anne,294
easement,294
fish,294
cooperation,293
bills,291
changes,289
protocol,289
providing,289
report,287
patent,285
pursuant,285
saskatoon,285
oil,284
firearms,283
dissolution,282
judges,282
aboriginal,279
salary,279
defence,278
foundation,278
ministers,278
territorial,277
current,276
specific,276
shares,275
grain,274
repeal,274
york,274
ronald,273
various,273
fort,271
free,271
motor,271
authorized,270
trial,270
known,269
windsor,269
position,268
jacques,267
post,267
london,266
measures,266
provided,266
elizabeth,265
rate,265
saint,265
employed,264
former,264
privy,263
aviation,261
substances,261
trustee,261
ratification,260
emergency,259
house,258
leave,258
group,256
majestys,256
relating,255
facilitate,254
prices,254
project,254
boundaries,253
certificate,253
prevention,253
terminating,253
town,253
marc,252
undertaken,252
brian,249
industrial,249
south,249
inspection,248
indians,247
vehicle,246
absence,245
hazardous,245
technical,245
family,244
individuals,244
kenneth,243
agrifood,242
decision,241
amber,240
durum,240
lease,239
reference,239
statutory,239
highway,238
officials,238
drugs,237
bring,236
cape,236
trip,236
law,235
radiotelevision,235
session,235
banks,234
via,234
effect,233
fraser,233
gatineau,233
housing,232
fiveyear,231
surrender,231
base,230
