order_id,department,add_time,mod_time
19900001,G&O,2015-09-26 04:35:34.263+00,2015-09-26 04:35:34.263+00
19900002,G&O,2015-09-26 04:35:34.343+00,2015-09-26 04:35:34.343+00
19900003,EMR,2015-09-26 04:35:34.393+00,2015-09-26 04:35:34.393+00
19900004,EMR,2015-09-26 04:35:34.448+00,2015-09-26 04:35:34.448+00
19900005,EMR,2015-09-26 04:35:34.51+00,2015-09-26 04:35:34.51+00
19900006,HOUSE,2015-09-26 04:35:34.565+00,2015-09-26 04:35:34.565+00
19900007,LAB,2015-09-26 04:35:34.625+00,2015-09-26 04:35:34.625+00
19900008,PMO,2015-09-26 04:35:34.691+00,2015-09-26 04:35:34.691+00
19900008,PSC,2015-09-26 04:35:34.691+00,2015-09-26 04:35:34.691+00
19900009,PMO,2015-09-26 04:35:34.756+00,2015-09-26 04:35:34.756+00
19900010,MSST,2015-09-26 04:35:34.811+00,2015-09-26 04:35:34.811+00
19900011,TC,2015-09-26 04:35:34.885+00,2015-09-26 04:35:34.885+00
19900012,TC,2015-09-26 04:35:34.944+00,2015-09-26 04:35:34.944+00
19900013,TC,2015-09-26 04:35:34.999+00,2015-09-26 04:35:34.999+00
19900014,PMO,2015-09-26 04:35:35.061+00,2015-09-26 04:35:35.061+00
19900015,AGR,2015-09-26 04:35:35.116+00,2015-09-26 04:35:35.116+00
19900016,TC,2015-09-26 04:35:35.176+00,2015-09-26 04:35:35.176+00
19900017,TC,2015-09-26 04:35:35.248+00,2015-09-26 04:35:35.248+00
19900018,TC,2015-09-26 04:35:35.31+00,2015-09-26 04:35:35.31+00
19900019,FIN,2015-09-26 04:35:35.365+00,2015-09-26 04:35:35.365+00
19900019,IT,2015-09-26 04:35:35.37+00,2015-09-26 04:35:35.37+00
19900020,INAC,2015-09-26 04:35:35.43+00,2015-09-26 04:35:35.43+00
19900021,TC,2015-09-26 04:35:35.497+00,2015-09-26 04:35:35.497+00
19900022,EIC,2015-09-26 04:35:35.558+00,2015-09-26 04:35:35.558+00
19900023,EIC,2015-09-26 04:35:35.638+00,2015-09-26 04:35:35.638+00
19900024,EIC,2015-09-26 04:35:35.713+00,2015-09-26 04:35:35.713+00
19900025,EIC,2015-09-26 04:35:35.774+00,2015-09-26 04:35:35.774+00
19900026,EIC,2015-09-26 04:35:35.845+00,2015-09-26 04:35:35.845+00
19900027,PCO,2015-09-26 04:35:35.905+00,2015-09-26 04:35:35.905+00
19900028,PCO,2015-09-26 04:35:35.96+00,2015-09-26 04:35:35.96+00
19900029,EIC,2015-09-26 04:35:36.025+00,2015-09-26 04:35:36.025+00
19900030,EIC,2015-09-26 04:35:36.096+00,2015-09-26 04:35:36.096+00
19900031,EIC,2015-09-26 04:35:36.156+00,2015-09-26 04:35:36.156+00
19900032,EIC,2015-09-26 04:35:36.216+00,2015-09-26 04:35:36.216+00
19900033,EIC,2015-09-26 04:35:36.286+00,2015-09-26 04:35:36.286+00
19900034,MCC,2015-09-26 04:35:36.346+00,2015-09-26 04:35:36.346+00
19900035,PCO,2015-09-26 04:35:36.411+00,2015-09-26 04:35:36.411+00
19900036,PCO,2015-09-26 04:35:36.471+00,2015-09-26 04:35:36.471+00
19900037,PWC,2015-09-26 04:35:36.541+00,2015-09-26 04:35:36.541+00
19900038,PWC,2015-09-26 04:35:36.601+00,2015-09-26 04:35:36.601+00
19900039,MSST,2015-09-26 04:35:36.672+00,2015-09-26 04:35:36.672+00
19900040,MSST,2015-09-26 04:35:36.739+00,2015-09-26 04:35:36.739+00
19900041,TC,2015-09-26 04:35:36.81+00,2015-09-26 04:35:36.81+00
19900042,TC,2015-09-26 04:35:36.875+00,2015-09-26 04:35:36.875+00
19900043,CCAC,2015-09-26 04:35:36.95+00,2015-09-26 04:35:36.95+00
19900044,EC,2015-09-26 04:35:37.015+00,2015-09-26 04:35:37.015+00
19900045,EC,2015-09-26 04:35:37.092+00,2015-09-26 04:35:37.092+00
19900046,TC,2015-09-26 04:35:37.167+00,2015-09-26 04:35:37.167+00
19900047,TC,2015-09-26 04:35:37.242+00,2015-09-26 04:35:37.242+00
19900048,CCAC,2015-09-26 04:35:37.317+00,2015-09-26 04:35:37.317+00
19900049,EMR,2015-09-26 04:35:37.392+00,2015-09-26 04:35:37.392+00
19900050,AGR,2015-09-26 04:35:37.462+00,2015-09-26 04:35:37.462+00
19900051,FIN,2015-09-26 04:35:37.537+00,2015-09-26 04:35:37.537+00
19900052,HWC,2015-09-26 04:35:37.607+00,2015-09-26 04:35:37.607+00
19900053,AGR,2015-09-26 04:35:37.686+00,2015-09-26 04:35:37.686+00
19900054,AGR,2015-09-26 04:35:37.789+00,2015-09-26 04:35:37.789+00
19900055,AGR,2015-09-26 04:35:37.865+00,2015-09-26 04:35:37.865+00
19900056,AGR,2015-09-26 04:35:37.935+00,2015-09-26 04:35:37.935+00
